symbol,tier,n_trades,wins,losses,pf,wr,sigs_per_day,cutoff
EURUSD,aggressive,17004,7399,9484,1.1702,0.4383,35.7574,0.4067
EURUSD,balanced,17004,7399,9484,1.1702,0.4383,35.7574,0.4067
EURUSD,conservative,17004,7399,9484,1.1702,0.4383,35.7574,0.4067
USDJPY,aggressive,18644,7852,10703,1.1004,0.4232,39.2095,0.4067
USDJPY,balanced,18644,7852,10703,1.1004,0.4232,39.2095,0.4067
USDJPY,conservative,2158,1184,964,1.8423,0.5512,4.5384,0.4203
GBPUSD,aggressive,17608,7594,9891,1.1517,0.4343,37.0397,0.4067
GBPUSD,balanced,17608,7594,9891,1.1517,0.4343,37.0397,0.4067
GBPUSD,conservative,1843,1155,647,2.6777,0.641,3.8769,0.4203
AUDUSD,aggressive,16863,7395,9363,1.1847,0.4413,35.4764,0.4067
AUDUSD,balanced,16863,7395,9363,1.1847,0.4413,35.4764,0.4067
AUDUSD,conservative,16863,7395,9363,1.1847,0.4413,35.4764,0.4067
USDCHF,aggressive,17894,7648,10108,1.1349,0.4307,37.6485,0.4067
USDCHF,balanced,17894,7648,10108,1.1349,0.4307,37.6485,0.4067
USDCHF,conservative,1710,997,673,2.2221,0.597,3.5978,0.4203
