symbol,profile,pf,wr,n_trades,avg_sigs_per_day
GBPUSD,Aggressive,1.2881,0.462,3622,22.6478
GBPUSD,Balanced,1.5,0.5,613,3.833
GBPUSD,Conservative,1.8261,0.549,155,0.9692
AUDUSD,Aggressive,1.4203,0.4864,1517,9.0517
AUDUSD,Balanced,1.8293,0.5495,273,1.6289
AUDUSD,Conservative,1.9667,0.5673,208,1.2411
USDCHF,Aggressive,0.9688,0.3924,2711,15.9843
USDCHF,Balanced,0.6283,0.2952,391,2.3054
USDCHF,Conservative,0.1724,0.1031,111,0.6545
USDCAD,Aggressive,1.1298,0.4296,7558,44.2446
USDCAD,Balanced,1.3273,0.4695,1327,7.7683
USDCAD,Conservative,1.5913,0.5148,264,1.5455
