config,n,pf,wr,wins,losses,pct_of_base,pf_delta_vs_base,wr_delta_vs_base,symbol
base,5804,1.631434830230011,0.5209863588667366,2979,2739,1.0,0.0,0.0,GBPUSD
base_+htf,2357,1.5650442477876105,0.5106106539627544,1179,1130,0.4060992419021365,-0.06639058244240048,-0.010375704903982208,GBPUSD
base_+session,1946,2.1833976833976836,0.5927672955974843,1131,777,0.3352860096485183,0.5519628531676726,0.0717809367307477,GBPUSD
base_+htf_+sess,812,2.1640866873065017,0.5906210392902408,466,323,0.13990351481736732,0.5326518570764907,0.06963468042350418,GBPUSD
base,4674,1.6291122127084272,0.5206308057895874,2410,2219,1.0,0.0,0.0,AUDUSD
base_+htf,1959,1.632400430570506,0.5211340206185567,1011,929,0.4191270860077022,0.0032882178620787794,0.0005032148289693117,AUDUSD
base_+session,1734,1.7727272727272727,0.5416666666666666,923,781,0.37098844672657255,0.1436150600188455,0.021035860877079204,AUDUSD
base_+htf_+sess,717,2.1794425087108014,0.5923295454545454,417,287,0.1534017971758665,0.5503302960023742,0.07169873966495799,AUDUSD
base,5469,1.5516849678152216,0.5084682672622372,2732,2641,1.0,0.0,0.0,USDCHF
base_+htf,1971,1.6653930131004366,0.5261251939989653,1017,916,0.3603949533735601,0.11370804528521505,0.01765692673672814,USDCHF
base_+session,2077,1.6976987447698744,0.5309126594700687,1082,956,0.3797769244834522,0.14601377695465279,0.022444392207831565,USDCHF
base_+htf_+sess,702,1.5580357142857142,0.5094890510948905,349,336,0.1283598464070214,0.0063507464704926075,0.0010207838326533603,USDCHF
base,5368,1.7040395713107996,0.5318409880355075,2756,2426,1.0,0.0,0.0,USDCAD
base_+htf,2079,1.79672131147541,0.5450024863252113,1096,915,0.38729508196721313,0.09268174016461028,0.01316149828970381,USDCAD
base_+session,1945,2.806603773584906,0.651697699890471,1190,636,0.3623323397913562,1.1025642022741062,0.1198567118549635,USDCAD
base_+htf_+sess,810,2.9365384615384613,0.6618985695708712,509,260,0.15089418777943367,1.2324988902276617,0.13005758153536373,USDCAD
