session,pf,wr,n,wins,losses,share_of_total,symbol
asia,1.1303879310344827,0.42974190905366655,2466,1049,1392,0.42487939352170917,GBPUSD
london,1.0,0.4,51,20,30,0.008787043418332184,GBPUSD
ny,2.1833976833976836,0.5927672955974843,1946,1131,777,0.3352860096485183,GBPUSD
ldn_ny_kz,2.25,0.6,10,6,4,0.0017229496898690559,GBPUSD
eu_open,1.75,0.5384615384615384,14,7,6,0.002412129565816678,GBPUSD
us_close,2.2035573122529644,0.5949839914621131,1912,1115,759,0.3294279807029635,GBPUSD
asia,1.2484076433121019,0.4542294322132097,1740,784,942,0.3722721437740693,AUDUSD
london,2.357142857142857,0.6111111111111112,18,11,7,0.0038510911424903724,AUDUSD
ny,1.7727272727272727,0.5416666666666666,1734,923,781,0.37098844672657255,AUDUSD
ldn_ny_kz,1.875,0.5555555555555556,9,5,4,0.0019255455712451862,AUDUSD
eu_open,inf,1.0,9,9,0,0.0019255455712451862,AUDUSD
us_close,1.7732558139534884,0.5417406749555951,1719,915,774,0.36777920410783055,AUDUSD
asia,1.1484593837535013,0.4336329984135378,1930,820,1071,0.352898153227281,USDCHF
london,0.75,0.3333333333333333,6,2,4,0.0010970927043335162,USDCHF
ny,1.6976987447698744,0.5309126594700687,2077,1082,956,0.3797769244834522,USDCHF
ldn_ny_kz,1.5,0.5,4,2,2,0.0007313951362223441,USDCHF
eu_open,0.0,0.0,5,0,5,0.0009142439202779302,USDCHF
us_close,1.6987381703470033,0.5310650887573964,2065,1077,951,0.3775827390747852,USDCHF
asia,1.1102150537634408,0.4253347064881565,1965,826,1116,0.3660581222056632,USDCAD
london,0.96,0.3902439024390244,43,16,25,0.00801043219076006,USDCAD
ny,2.806603773584906,0.651697699890471,1945,1190,636,0.3623323397913562,USDCAD
ldn_ny_kz,0.0,0.0,6,0,4,0.0011177347242921013,USDCAD
eu_open,1.875,0.5555555555555556,9,5,4,0.0016766020864381521,USDCAD
us_close,2.833068362480127,0.6538249862410567,1934,1188,629,0.3602831594634873,USDCAD
