feature,mean_abs_shap_ny,mean_signed_shap_ny,mean_abs_shap_ldn,mean_signed_shap_ldn,abs_delta,signed_delta
rvol_20,0.1197750960882794,0.11314037628240832,0.05290257239635629,0.05290257239635629,0.0668725236919231,0.06023780388605203
ema_20_dist_atr,0.09874771074252232,0.09788493566530695,0.03835318682437483,0.03835318682437483,0.060394523918147494,0.059531748840932125
hour_sin,0.03713142518643313,0.025048588991634584,0.05053054120312046,-0.012727932912023742,-0.013399116016687335,0.03777652190365832
hour_cos,0.014167574794839047,0.003024077444768187,0.009745765692713593,-0.009745765692713593,0.004421809102125454,0.01276984313748178
dist_to_swing_low_atr,0.04791786760413163,0.037896462636769504,0.03233608241263271,0.03233608241263271,0.015581785191498922,0.005560380224136796
volume_z_score,0.0032364226838998474,-0.0016897424041117453,0.005849614915675346,-0.005457428743760663,-0.0026131922317754984,0.0037676863396489176
dist_to_swing_high_atr,0.0046158735221100995,0.004418282577127321,0.0012457024233085874,0.0012457024233085874,0.003370171098801512,0.0031725801538187333
htf_1h_atr_percentile_100,0.0015526932527772435,-0.000273436645454877,0.0017548903965264322,0.0017548903965264322,-0.00020219714374918865,-0.002028327041981309
ema_20_slope_atr,0.0016775856027964721,0.0015587406594591516,0.00023487116078120746,0.00023487116078120746,0.0014427144420152646,0.001323869498677944
ltf_rsi_minus_htf_rsi,0.005979061645760467,0.004791867720102578,0.0038188403829708647,0.0038188403829708647,0.002160221262789602,0.0009730273371317136
htf_ltf_agree_bull,0.0006179810788304002,-0.0002532706749326588,0.0010820141165169066,0.00023429628225247502,-0.00046403303768650646,-0.0004875669571851338
both_high_vol,0.0012932689600608982,0.0008953958184767519,0.001200607246386578,0.001200607246386578,9.266171367432012e-05,-0.0003052114279098262
realized_vol_20,0.000354806893577181,0.0001331597741311977,0.0009065706882986911,0.00043290421109055575,-0.0005517637947215102,-0.00029974443695935803
pullback_in_bear,0.0006897047719439882,0.0006897047719439882,0.00044610081986788333,0.00044610081986788333,0.00024360395207610486,0.00024360395207610486
atr_percentile_100,0.0008295198796689393,0.0003998695208702604,0.00042515282630579114,0.00042515282630579114,0.00040436705336314814,-2.528330543553073e-05
