base_pf,htf_pf,session_pf,both_pf,max_single_pf,interaction_score,lift_vs_base,verdict,seed,symbol,cluster_cutoff
1.6501,1.6362,2.2325,2.2451,2.2325,0.0126,0.595,neutral,42,GBPUSD,0.498
1.633,1.6866,1.8004,2.4588,1.8004,0.6584,0.8258,additive,42,AUDUSD,0.498
1.5491,1.678,1.7118,1.5872,1.7118,-0.1246,0.0381,destructive,42,USDCHF,0.498
1.6888,1.8311,2.7921,2.9763,2.7921,0.1842,1.2875,additive,42,USDCAD,0.498
1.616,1.5236,2.1157,2.0363,2.1157,-0.0794,0.4203,neutral,1,GBPUSD,0.4974
1.6598,1.7506,1.7416,2.1867,1.7506,0.4362,0.5269,additive,1,AUDUSD,0.4974
1.5214,1.6622,1.6316,1.5331,1.6622,-0.1291,0.0118,destructive,1,USDCHF,0.4974
1.6616,1.7674,2.6599,2.7194,2.6599,0.0594,1.0577,neutral,1,USDCAD,0.4974
1.6314,1.565,2.1834,2.1641,2.1834,-0.0193,0.5327,neutral,7,GBPUSD,0.4977
1.6291,1.6324,1.7727,2.1794,1.7727,0.4067,0.5503,additive,7,AUDUSD,0.4977
1.5517,1.6654,1.6977,1.558,1.6977,-0.1397,0.0064,destructive,7,USDCHF,0.4977
1.704,1.7967,2.8066,2.9365,2.8066,0.1299,1.2325,additive,7,USDCAD,0.4977
