variant,family,n_trees,tier,cutoff,pf,wr,n_trades,sigs_per_day_per_symbol
v0_baseline_es,lgb,2,Standard,0.402624142634683,1.0624513035660774,0.41462302213802055,28713,56.87502321262767
v0_baseline_es,lgb,2,High,0.402624142634683,1.0624513035660774,0.41462302213802055,28713,56.87502321262767
v0_baseline_es,lgb,2,Premium,0.4037261938620102,1.1358093126385809,0.4309148264984227,1619,3.20693283813061
v1a_30_noes,lgb,30,Standard,0.49590266307662,1.1475,0.43342776203966005,3547,7.025936242649334
v1a_30_noes,lgb,30,High,0.5049462421184189,1.2189054726368158,0.44830741079597436,1100,2.178891983905911
v1a_30_noes,lgb,30,Premium,0.513096626705561,1.338174273858921,0.47149122807017546,460,0.911173011451563
v1b_100_noes,lgb,100,Standard,0.5308916427356488,1.1151046405823475,0.4264091858037578,3858,7.64196843082637
v1b_100_noes,lgb,100,High,0.5478736109334635,1.2171945701357465,0.4479600333055787,1209,2.394800371402043
v1b_100_noes,lgb,100,Premium,0.5647617027060042,1.4490291262135921,0.49135802469135803,407,0.8061900340451872
v1c_xgb_30,xgb,30,Standard,0.4116818606853485,1.1117804551539492,0.4256791389031266,3932,7.788548437016405
v1c_xgb_30,xgb,30,High,0.42104631662368774,1.133377135348226,0.43038922155688625,1345,2.6641906530485917
v1c_xgb_30,xgb,30,Premium,0.4302721619606018,1.132295719844358,0.43015521064301554,452,0.8953265242958836
